video_url,author_id,author_nickname,author_unique,music,caption
https://v16-webapp.tiktok.com/41cac8bf125228eb0b986b2441de8576/61e9e039/video/tos/useast2a/tos-useast2a-pve-0068/deb70954b61c44ae9bc867c2ccee3396/?a=1988&br=816&bt=408&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7ThEFqAlXq&l=202201201620290102440262290672D057&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amVucjY6ZjQ7OTMzNzczM0ApPDNnPDNnOjxpN2c4NWQ3OmdmaW0ucjRfcm1gLS1kMTZzczQzMTExMzNhMzMzMDRhNTE6Yw%3D%3D&vl=&vr=,7.03797E+18,🕸,spiralp,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7029872126047898369.mp3,#ad #makeawish #trend #lol #fyp #foryou #xyzbca
https://v16-webapp.tiktok.com/212afe48ed1247b4107bcfaf79b98b62/61e9e03c/video/tos/useast2a/tos-useast2a-ve-0068c002/9d73bcd576c549389a685eaecb6636cf/?a=1988&br=2448&bt=1224&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7ThEFqAlXq&l=202201201620290102440262290672D057&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anFxc2s1NDw0eDMzPDczM0ApNTRlZDlnaWQ4NztoOGk8N2dycGNfbGowXnJfLS0zMTZzc2EtM2JjYDNeXjAzLmJjLjI6Yw%3D%3D&vl=&vr=,5831967,charli d’amelio,charlidamelio,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/401f89f41da74e809d0dd512e8c57df0,its christmas season and u know what that means....holiday pjs!!@amazonfashion #pajamajam #founditonamazon #ad
https://v16-webapp.tiktok.com/edf0e653221de2a9920ce2164f07fa0a/61e9e049/video/tos/useast2a/tos-useast2a-ve-0068c003/b5a078938367483cb5db95795bfb8f89/?a=1988&br=2680&bt=1340&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7ThEFqAlXq&l=202201201620290102440262290672D057&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anh1dzo4aGdvNjMzNzczM0ApN2k7OGU6ZGRpNzY4aTY0aWdlYzBgcTZwZWFgLS1kMTZzcy9iMTBiLzU2LjNfX15eMWA6Yw%3D%3D&vl=&vr=,6.70026E+18,Hang 🌻⚡️,nothangtw,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/d7703cfad6a64a69ac41157e713b4bbf,#ad #tjmaxx Summer Haul #ad #fyp #foryoupage #MaxxIsMore #TJMaxxFinds #TJMaxxHaul #gooddeals #ad
https://v16-webapp.tiktok.com/55070b23e36fb0f1f0435c069b3b135c/61e9e041/video/tos/useast2a/tos-useast2a-pve-0068/88c0584dfcf245f287b645b6f7d8061d/?a=1988&br=2198&bt=1099&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7ThEFqAlXq&l=202201201620290102440262290672D057&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anZpOnk1bnVtdDMzNjczM0ApZGczM2g8ZTszN2g4ZzU4PGdqcmBtZDMuMXBfLS0tMTZzczQyXi9hYDEuX2JhLS42YmI6Yw%3D%3D&vl=&vr=,6.51648E+18,Sari Aalto,sariaalto,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/2bca9bd8efaa84cbcae5c98e3fdd4076.mp3,Which Tutti Frutti candy you'd like giant-sized? ? #fazertuttifrutti #ad #mainos
https://v16-webapp.tiktok.com/16c881e961e5cb3ba0cecf2c23aca425/61e9e03c/video/tos/useast2a/tos-useast2a-ve-0068c003/b8331aa721ab4f5cbdf150dd4ca0f496/?a=1988&br=2714&bt=1357&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7ThEFqAlXq&l=202201201620290102440262290672D057&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3JsZDRqNm94MzMzNTczM0ApMzpmNTU8NGQ3NzY5ZGU8aGduczUwNF5qczVgLS1hMTZzc18wNjJjY141M2EwNV4zYTM6Yw%3D%3D&vl=&vr=,6.79899E+18,"JasmineRDH, BSDH MHA",jasminerdh,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6920673500063632133.mp3,Scrubs: @barcouniforms #learnontiktok #tiktokpartner #barcouniforms #ad #barcobrigade #pregnancy #pregnancytest #earlysigns #healthtips #scrubs #ootd
https://v16-webapp.tiktok.com/0521c1bdcecf193926b51b405a1e9afe/61e9e03a/video/tos/useast5/tos-useast5-ve-0068c002-tx/e12ad4b43b964df49a79ec93460edf1f/?a=1988&br=6072&bt=3036&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7ThEFqAlXq&l=202201201620290102440262290672D057&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M295OGU6ZnE7ODMzZzczNEApOWU1ZjtnNTw7Nzk4aGU5Z2diLy1ycjRvYWpgLS1kMS9zczZeMWM0LmMxYGE0MDBgNV86Yw%3D%3D&vl=&vr=,6.75075E+18,🥜,ieatkidz2020,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7009674079250811654.mp3,#ad
https://v16-webapp.tiktok.com/f4f51061facaedbe10a93bdad11db911/61e9e05d/video/tos/useast2a/tos-useast2a-ve-0068c003/1c929027a8bf429290af54c0e14806ce/?a=1988&br=4722&bt=2361&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7ThEFqAlXq&l=202201201620290102440262290672D057&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anBuN2wzcXBrMzMzaTczM0ApOjdpZDo2Nzs3NzpmM2ZkZGdqMGdnY2VxZ2FgLS1jMTZzczYyMi0tMC0zMC5iXzI1MWI6Yw%3D%3D&vl=&vr=,6.78014E+18,Jenny Martinez,jennymartinezzz,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6925157255277005574.mp3,The Best Guacamole for SuperBowl Sunday! #ElSuperMarkets #ElSuperCostLess #ElSupetCuestaMenos #ad #fyp #foryou #guacamole #molcajete #parati #4u
https://v16-webapp.tiktok.com/6eab914905ead1cd6b5d938e7bdad7fa/61e9e037/video/tos/alisg/tos-alisg-pve-0037c001/97d467a1d99342958f45f58f036b1b85/?a=1988&br=1266&bt=633&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7ThEFqAlXq&l=202201201620290102440262290672D057&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amQ6NTVnNnRrNTMzODczM0ApZTtoNmk3aGQ6NzZpNWRpO2dpZHAwLW9mcmxgLS1kMTRzczZeNTEzYDMuMzBjMGEzMi06Yw%3D%3D&vl=&vr=,6.61741E+18,Harry Jowsey,harryjowsey,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6847469298277960453.mp3,@boohooman #ad
https://v16-webapp.tiktok.com/ec18a6e49f6e4af4375ed062a8346849/61e9e03c/video/tos/useast2a/tos-useast2a-ve-0068c003/2435e6b27ede4f08bce383ab5ff28a43/?a=1988&br=2998&bt=1499&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7ThEFqAlXq&l=202201201620290102440262290672D057&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajhwOjxlbzx3MzMzNzczM0ApaDlnOjYzOGU4N2hpNmc5NGdjLjVzai1wcmJgLS1fMTZzczRiMmIvLWI2NS0yXi9hYDI6Yw%3D%3D&vl=&vr=,6.59681E+18,Kimberly Loaiza,kimberly.loaiza,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6868797744295742210.mp3,Le haz llorado a un hombre?              @bangenergy @bangenergy.ceo      #ad #bangenergy
https://v16-webapp.tiktok.com/3ff96b1d4cd3c1151453deeba5c3a8f6/61e9e050/video/tos/useast2a/tos-useast2a-ve-0068c001/0109a1bfc49346cab44fea5dd95e6b76/?a=1988&br=1810&bt=905&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7ThEFqAlXq&l=202201201620290102440262290672D057&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3Q6M3c6ZW95eTMzODczM0ApaDZnMzU5Ozs5N2g6NTtoPGc2bDZqNmMtYDZfLS1eMTZzczI1XzU0MjZiM2BhNi81LS86Yw%3D%3D&vl=&vr=,6.65539E+18,your best friend ace,acefullyalive,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6896230444526865158.mp3,"when Phil said that in Hangover 2, i felt that  #comedy #comedyskit @hbomax #ad"
