name,gender,origin
Ambretta,Girl,"Arabic, French"
Ambroise,Boy,"Latin, English"
Ambros,Girl,"Latin, Greek"
Ambrose,Boy,"Latin, English"
Ambrosio,Girl,"Latin, Greek"
Ambroz,Boy,"Latin, English"
Ambrozy,Boy,"Latin, English"
Amdis,Both,Latin
Amédée,Boy,"Latin, Italian"
Amedeo,Boy,"Latin, Italian"
Ameena,Girl,Arabic
Ameer,Boy,"Arabic, Hebrew"
Ameera,Girl,Arabic
Amelka,Girl,German
Amena,Girl,Arabic
Amenah,Girl,Arabic
Amera,Girl,Arabic
Americah,Both,"Latin, English"
Amerigo,Both,"Latin, English"
Amerika,,"Latin, English"
Amery,Girl,
Amethyst,Girl,Greek
Ami,Girl,French
Amice,Girl,"Latin, English"
Amie,Girl,French
Amiel,Boy,Hebrew
Amiina,Girl,Russian
Amilia,Girl,German
Amin,Boy,Arabic
Aminta,Girl,English
Amirah,Boy,"Arabic, Hebrew"
Amiri,Boy,"Arabic, Hebrew"
Amissa,Both,Hebrew
Amit,Boy,"Latin, Hindu, Indian"
Amita,Girl,"Latin, English"
Amity,Girl,"Latin, English"
Amiyah,Girl,"Hindu, Indian"
Amos,Boy,Hebrew
Amparo,Girl,Spanish
Amsden,Both,English
Amya,Girl,"Hindu, Indian"
Anabella,Girl,Scottish
Anabelle,Girl,Scottish
Anahid,Girl,Spanish
Anaia,Girl,Hebrew
Anaiah,Girl,Hebrew
Anais,Girl,Spanish
Anaïs,Girl,"Greek, French"
Anamaria,Girl,Spanish
Anana,Girl,African
Ananda,Both,"Hindu, Indian, Sanskrit"
Anando,Both,African
Anara,Girl,Spanish
Anastacia,Girl,"Greek, Russian"
Anastashya,Girl,"Greek, Russian"
Anatole,Boy,Latin
Anatoli,Boy,Latin
Anayhi,Girl,Spanish
Ancelin,Girl,Latin
Anddrew,,Spanish
Andera,Boy,
Anderea,Both,Greek
Anders,Boy,Scandinavian
Anderssen,Boy,"English, Native American, Scandinavian"
Andersson,Boy,"English, Native American, Scandinavian"
Andi,Boy,French
Andie,Boy,French
Andra,Boy,French
Andraea,Both,Greek
András,Boy,French
Andreana,Girl,Latin
Andreia,Both,Greek
Andreus,Boy,Greek
Andrey,Boy,Russian
Andries,Boy,Greek
Andromeda,Girl,Greek
Andy,Both,Greek
Aneirin,Boy,Welsh
Anemone,Girl,Greek
Anezka,Girl,Russian
Angele,Girl,Greek
Angeles,Girl,Greek
Angelica,Girl,"English, Italian"
Angelico,Boy,"Latin, Italian"
Angeline,Girl,"English, Greek"
Angélique,Girl,"English, Italian"
Angelita,Girl,"English, Italian"
Angello,Girl,Greek
Angelo,Boy,Latin
Angeni,Both,Native American
Angharad,Girl,Welsh
Angie,Girl,"English, Italian"
Anikaa,Girl,Indian
Ania,Girl,Spanish
Anica,Girl,Scandinavian
Anieli,Boy,Greek
Anija,Girl,Spanish
Anijah,Girl,Hebrew
Anil,Boy,"Hindu, Indian"
Anila,,"Hindu, Indian, Sanskrit"
Anine,Girl,
Anisa,Girl,"Arabic, Hebrew"
Anish,Boy,"Hindu, Indian"
Anitra,Girl,"Hebrew, Scandinavian"
Anji,Girl,"English, Italian"
Anke,Girl,"Dutch, German, Scandinavian"
Anker,Boy,"Greek, Scandinavian"
