UniqueID,Contributor,Premium User,Date,Time,Comment,Child
9a862891-4fdf-40cb-9469-0c377f59e2e4,yorick,False,2021-09-24,12:41:16.000Z,"Alternant arrogance, vociférations et lyrisme de pacotille, Mélenchon s'est complètement ridiculisé.<br>A l'inverse, Zemmour, calme, courtois, parfois ironique mais toujours maître de lui, a dominé le débat et a su judicieusement placer ses arguments.<br>Décidément, cette campagne présidentielle, qui promettait d'être terne et sans surprise, commence à devenir intéressante.",0
d08c43fb-2131-4850-8840-02021a74f6a0,Iscyros,True,2021-09-24,12:40:37.000Z,"La créolisation n'est pas un processus heureux et égalitaire, et sur ce sujet Mélenchon lui-même est dépassé sur sa gauche car pas assez légitime. Il n'est jamais arrivée qu'une nation renonce à sa puissance pour capituler même culturellement en se retrouvant perdant économiquement.",0
1f7f1f75-f279-4b23-a818-61039ee9823f,anonyme 49097,True,2021-09-24,12:40:29.000Z,Mélenchon&nbsp;: Mauvaises diagnostiques ; mauvaises solutions&nbsp;!<br>Zemmour&nbsp;: Bonne diagnostiques ; peu de solutions&nbsp;!,0
a771f6af-c8c2-436f-b903-71966365c746,ROSITA 4,False,2021-09-24,12:12:05.000Z,"Zemmour pour s'être adressé d'une façon aussi discourtoise prouve le mépris envers les femmes et pourtant ...s'en sert quand cela lui convient , suffisemment de photos pour l'illustrer.....",0
74c4ec59-6306-42a0-b15c-14e07199b331,lizardking,True,2021-09-24,12:11:49.000Z,"c’était le premier et le dernier vrai débat d’idées. La suite ne sera qu’enfilage de perles, ouverture de porte ouverte. Le plus centriste gagnera par un usage abusif du politiquement correct. Il n’y a qu’une liberté, rien qu’une: c’est de voir clair d’abord, et puis ensuite d’avoir du pognon plein les poches, le reste c’est du mou! Les français doivent s’attacher à cette citation de Céline, ce sera leur salut.",0
44afe6ac-6c97-4fa8-aad3-b97fd5cd3520,jptal001,False,2021-09-24,12:10:02.000Z,"Soyons sérieux quelques instants&nbsp;! vous ne pouvez pas comparer un homme d'Etat comme Mélenchon avec un guignol comme Zemmour&nbsp;? rien que sur les pourcentages d'avis favorables les journalistes d'aujourd'hui s'extasient sur les 11% de Zemmour, c'est un peu vite oublier que Coluche en 1981 ralliait 16% d'intention de vote, chut ...! il ne faut pas le rappeler....? ben oui quoi&nbsp;! je suis de plus en plus persuadé que Zemmour travaille soit pour Macron soit pour Bertrand avec à la clé une place de choix dans le futur gouvernement.",0
a0595669-549e-4675-97ff-659cad4f8baa,anonyme,False,2021-09-24,12:06:48.000Z,Il faudra un jour que quelqu'un m'explique pourquoi l'extrême droite n'est même pas foutue d'écrire correctement le nom de Mélenchon et pourquoi ils écrivent tous Mélanchon... AL.,0
df631651-3bb9-4ab8-a91a-6787c72d503f,Dany L,False,2021-09-24,12:06:39.000Z,"Comment défendre "" la créolisation "" du pays sans être assigné devant un tribunal?",0
b1944efd-f7f5-4d03-9bf5-1f52c8aabf0e,bastok64,True,2021-09-24,12:06:11.000Z,"Un Mélenchon vieilli,dépassé, faisant des dessins sur ses notes, se faisant répéter les questions, n'écoutant parfois personne, cherchant son stylo par terre...ç'est ça le fameux leader pour 2022&nbsp;? sérieux, il n'y a plus que son staff pour le défendre... En face un Zemmour flamboyant, passible, lucide, fidèle a ses idées, décochant ses vérités et ses analyses irréfutables. Une fois qu'il sera entouré de spécialistes en chaque domaine, il apportera une Vision pour la France digne de ces 2 mots&nbsp;: Vision, France. Enfin, bravo pour BFM, ils auront été les premiers à ""saisir et comprendre"" que l'avenir pour la politique de notre pays, ç'est Zemmour&nbsp;! Et surtout pas les éoliennes, les usines à charbon, ou les futures inondations de Bordeaux ou d'ailleurs, notamment du """"Melanchonistan"""". Ce dernier étant déjà en train de couler.... Par contre il faudrait tout de même que le patron de BFM, pourtant un pro des débats, M. Fogiel, ose mettre des animateurs faisant le poids pour ce genre de débats, ceux d'hier au soir furent les seuls points faibles de la soirée...",0
5a459512-e266-491d-9a84-c97d65d274ca,Obélix 59,False,2021-09-24,12:05:44.000Z,"Trop rigolo le mélanchon ..;Sur les sujets qui le fâchent, ou bien il invective , ou bien il prend des notes , caché derrière ses lunettes...",0
bb944dba-215f-465b-90cf-a41dcbdce0aa,anonyme,False,2021-09-24,12:04:03.000Z,Eric Zemmour ne s'est pas laissé démonter par les propos injurieux et la hargne de Mélenchon. Un débat pas facile mais intéressant. Eric Zemmour à gagner sa place en politique.,0
