"item","description","series","facility","status","avail_for_sale","list_price","net_price","disc_price","product_style","product_type","catalog_description","catalog_material","finish_code","finish","item_height","item_width","item_length","item_depth","item_diameter","item_extension","package_height","package_width","package_length","weight","freight_only","not_ul_approved","energy_star","energy_saving","es_lamp_included","dark_sky","ul_type","amps","fan_watts","rpm","motor_size","motor_poles","motor_warranty","motor_lead_wire","motor_pull_switch_type","motor_reverse_switch_type","number_of_blades","sweep","blade_side_a_color","blade_side_b_color","arm_pitch","downrod_length1","downrod_length2","overall_fan_height","ceiling_to_lower_edge_of_blade","canopy_height","fan_housing_width","bulb_type","number_of_lights","light_watts","socket","diffuser_type","diffuser_material","diffuser_panels","shade_pattern","shade_color","diffuser_shape","multi_piece_count","multi_piece_height","multi_piece_width","multi_piece_length","multi_piece_depth","multi_piece_diameter","multi_piece_extension","phase_out","vendor_origin","master_pack","inner_pack","cartons_per_item","carb_required","lacey_required","fws_required","fda_required","carb_compliant","map_price","UPC"
"196608-69","PROXIMA PATIO 60"" - TXB  ","Proxima Patio","QRW","Active",94,1318.50,439.50,439.50,"Transitional","Patio Fan","","","TXB","Textured Black ",.00,.00,.00,.00,.00,.00,13.25,9.75,37.00,29.20,"N","N","N","N","N","N","Wet",".45/.30/.21/.14/.10/.07","32/20/14/9/6/4","147/125/109/91/73/53","DC-165M","6","Ltd Lifetime",80.00,"","",8,"60                              ","Matte Black                     ","Matte Black                     ",14.00,4.00,6.00,16.06,13.03,.00,.00,"","","","","","",,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",879.00,"190808118875"
"2000","OPTIONAL CLR/SEEDED GLS","","QRW","Active",552,29.85,9.95,9.95,"All","Lighting Accessory","","","","Clear Seeded",5.00,5.25,.00,.00,.00,.00,5.50,5.88,5.88,.80,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","","","","","",0,"","","",0,,,,,,,"N","China",12,1,1,"","","","","N         ",19.90,"190808116512"
"20603-65","EXPO 60"" 3BL LED FAN -STN","Expo","QRW","Active",82,369.75,123.25,123.25,"Soft Contemporary","Ceiling Fan","","","STN","Satin Nickel ",11.00,13.25,27.25,.00,.00,.00,9.00,13.75,25.00,23.00,"N","N","N","N","N","N","Dry",".50/.40/.23","61/37/12","141/110/63","153x15","14","Limited Lifetime",80.00,"hi/med/low/off","",3,"60                              ","Silver                          ","Weathered Gray                  ",12.50,6.00,.00,15.65,11.52,.00,.00,"LED","2","9","Medium","","",,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",246.50,"190808147981"
"2202-12-65","DAKOTA 2LT DUAL MT - STN ","Dakota","QRW","Active",17,284.25,94.75,94.75,"Soft Contemporary","Dual Mount","","","STN","Satin Nickel ",10.75,12.00,.00,.00,.00,.00,12.50,13.75,13.75,8.40,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","2","60","Medium","","",0,"","Clear seeded","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",189.50,"190808135728"
"2314-69","3LT DAMP CAGE KIT - TXB  ","","QRW","Active",72,334.50,111.50,111.50,"Industrial","Patio Light Kit","","","TXB","Textured Black ",7.00,16.00,.00,.00,.00,.00,9.75,16.25,16.25,5.50,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"LED","3","6","Medium","","",0,"","","",0,,,,,,,"N","China",2,1,1,"N         ","N         ","N         ","N         ","N         ",223.00,"190808135674"
"2401-8086","4LT FLSHFT LED LK/HW - OB","","QRW","Active",239,129.75,43.25,43.25,"Traditional","Light Kit","","","OB","Oiled Bronze ",2.50,8.00,.00,.00,.00,.00,7.50,7.50,6.50,2.07,"N","N","N","N","Y","N","Dry","","","","","","",,"","",0,"0                               ","Combo1                          ","Combo1                          ",.00,,,,,,,"LED","4","9","Medium","","",0,"","","",0,,,,,,,"N","China",24,1,0,"N         ","N         ","N         ","N         ","N         ",86.50,"190808047489"
"2444-8060","4LT LED LK HDW - ASL     ","","QRW","Active",27,139.50,46.50,46.50,"Traditional","Light Kit","","","ASL","Aged Silver Leaf ",3.00,10.00,.00,.00,.00,.00,9.00,9.00,5.25,2.40,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"LED","4","9","Medium","","",0,"","","",0,,,,,,,"Y","China",12,1,1,"N         ","N         ","N         ","N         ","N         ",93.00,"190808067395"
"2747","2.25"" SILVER MERC BARREL","","QRW","Active",204,46.50,15.50,15.50,"Transitional","Glass","","","","Silver Mercury",5.50,4.25,.00,.00,.00,.00,6.00,5.00,5.00,.68,"N","N","N","N","N","N","","","","","","","",,"","",,"","","",,,,,,,,""," ","","","","",0,"","","",0,,,,,,,"N","China",24,4,0,"N         ","N         ","N         ","N         ","N         ",31.00,"190808047090"
"2769-15-65","BARKLEY 3LT DUAL MT - STN","Barkley","QRW","Active",0,156.75,52.25,52.25,"Transitional","Dual Mount","","","STN","Satin Nickel ",12.00,15.00,.00,.00,.00,.00,9.75,18.00,18.00,9.40,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","3","60","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",104.50,"190808102867"
"2827-15-65","JARDIN 3LT DUAL MT - STN","Jardin","QRW","Active",9,144.75,48.25,48.25,"Transitional","Dual Mount","","","STN","Satin Nickel ",12.00,15.00,.00,.00,.00,.00,9.75,18.00,18.00,9.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","3","60","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",96.50,"190808102669"
"2854-18-86","BRYANT 3LT DUAL MT - OB","Bryant","QRW","Active",23,242.25,80.75,80.75,"Traditional","Dual Mount","","","OB","Oiled Bronze ",16.50,17.50,.00,.00,.00,.00,14.25,18.25,18.25,12.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","3","75","Medium","","Glass",0,"","Amber scavo","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",161.50,"190808068316"
"28682-70","TURNER 2BLD 68"" FAN - PW","Turner","QRW","Active",0,714.00,238.00,238.00,"Traditional","Ceiling Fan","","","PW","Persian White ",13.00,12.00,31.25,.00,.00,.00,31.50,13.00,12.00,22.40,"N","N","N","N","N","N","Dry",".54/.40/.28/.19","63/36/17/8","90/65/50/43","153x20","14","Limited Lifetime",80.00,"7-1091-6","Slide / Top",2,"68                              ","Distressed Weathered Pine       ","Distressed Weathered Pine       ",16.00,4.00,6.00,17.64,13.27,.00,.00,"","","","","","",,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",476.00,"190808047144"
"2943H","2.25 SATIN OPAL BARREL","","QRW","Active",0,20.10,6.70,6.70,"Transitional","Glass","","","","Satin Opal",5.25,4.25,.00,,.00,.00,.00,.00,.00,.84,"N","Y","N","N","N","N","","","","","","","",,"","",,"","","",,,,,,,,""," ","","","","Glass",0,"","SATIN OPAL","",0,,,,,,,"N","China",24,4,1,"N         ","N         ","N         ","N         ","N         ",13.40,"190808067715"
"3003-60","CHAMPLAIN 1LT PEND - ASL ","Champlain","QRW","Active",52,423.00,141.00,141.00,"Traditional","Pendant","","","ASL","Aged Silver Leaf ",17.50,8.00,.00,.00,.00,.00,10.50,10.50,19.50,9.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","",0,"","Mercury","",0,,,,,,,"Y","China",1,0,1,"","","","","N         ",282.00,"190808067081"
"3012-8-65","8"" RIBBED MUSHROOM - STN","","QRW","Active",768,44.25,14.75,14.75,"Traditional","Ceiling Mount","","","STN","Satin Nickel ",5.50,9.50,.25,,.00,.00,11.00,11.00,7.00,4.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","                                ","                                ",.00,,,,,,,"","2","60","Medium","","Glass",0,"RIBBED","CLEAR","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",29.50,"190808046741"
"3063-15-65","15"" STN OPAL FL/MT - STN","","QRW","Active",17,86.25,28.75,28.75,"Traditional","Ceiling Mount","","","STN","Satin Nickel w/ Satin Opal",6.75,15.50,.00,.00,.00,.00,8.00,15.75,15.75,6.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","                                ","                                ",.00,,,,,,,"","3","60","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",4,1,0,"N         ","N         ","N         ","N         ","N         ",57.50,"190808095657"
"3066-11-95","11"" FL/MT FAUX ALAB - OW","","QRW","Active",106,48.75,16.25,16.25,"Traditional","Ceiling Mount","","","OW","Old World ",6.00,11.50,.00,,.00,.00,6.50,12.00,12.00,3.40,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","                                ","                                ",.00,,,,,,,"","2","60","Medium","","Glass",0,"","Faux alabaster","",0,,,,,,,"N","China",4,1,1,"N         ","N         ","N         ","N         ","N         ",32.50,"190808050106"
"3069-65","BARKLEY 1LT MINI PND -STN","Barkley","QRW","Active",264,119.25,39.75,39.75,"Transitional","Pendant","","","STN","Satin Nickel ",7.00,5.75,.00,.00,.00,.00,17.00,8.75,9.50,5.80,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",79.50,"190808102874"
