"item","description","series","facility","status","avail_for_sale","list_price","net_price","disc_price","product_style","product_type","catalog_description","catalog_material","finish_code","finish","item_height","item_width","item_length","item_depth","item_diameter","item_extension","package_height","package_width","package_length","weight","freight_only","not_ul_approved","energy_star","energy_saving","es_lamp_included","dark_sky","ul_type","amps","fan_watts","rpm","motor_size","motor_poles","motor_warranty","motor_lead_wire","motor_pull_switch_type","motor_reverse_switch_type","number_of_blades","sweep","blade_side_a_color","blade_side_b_color","arm_pitch","downrod_length1","downrod_length2","overall_fan_height","ceiling_to_lower_edge_of_blade","canopy_height","fan_housing_width","bulb_type","number_of_lights","light_watts","socket","diffuser_type","diffuser_material","diffuser_panels","shade_pattern","shade_color","diffuser_shape","multi_piece_count","multi_piece_height","multi_piece_width","multi_piece_length","multi_piece_depth","multi_piece_diameter","multi_piece_extension","phase_out","vendor_origin","master_pack","inner_pack","cartons_per_item","carb_required","lacey_required","fws_required","fda_required","carb_compliant","map_price","UPC"
"5669-1-80","1LT CYLINDER WALL MT -AGB","","QRW","Active",0,147.75,49.25,49.25,"Transitional","Wall Mount","","","AGB","Aged Brass ",9.25,4.75,.00,.00,.00,6.00,7.25,9.75,13.25,3.96,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",6,1,0,"N         ","N         ","N         ","N         ","N         ",98.50,"190808102584"
"6022-12-60","ROSSINGTON 12LT CAND -ASL","Rossington","QRW","Obsolete",61,937.50,312.50,78.12,"Transitional","Chandelier","","","ASL","Aged Silver Leaf ",37.50,31.50,.00,.00,.00,.00,34.75,12.50,33.00,24.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","12","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",.00,"190808082640"
"6022-12-62","ROSSINGTON 12LT CAND - PN","Rossington","QRW","Obsolete",72,937.50,312.50,78.12,"Transitional","Chandelier","","","PN","Polished Nickel ",37.50,31.50,.00,.00,.00,.00,34.75,12.50,33.00,24.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","12","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808083340"
"6022-12-80","ROSSINGTON 12LT CAND -AGB","Rossington","QRW","Obsolete",23,937.50,312.50,78.12,"Transitional","Chandelier","","","AGB","Aged Brass ",37.50,31.50,.00,.00,.00,.00,34.75,12.50,33.00,24.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","12","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808083326"
"6022-12-86","ROSSINGTON 12LT CAND - OB","Rossington","QRW","Obsolete",23,937.50,312.50,78.12,"Transitional","Chandelier","","","OB","Oiled Bronze ",37.50,31.50,.00,.00,.00,.00,34.75,12.50,33.00,24.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","12","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808083333"
"6022-4-60","ROSSINGTON 4LT CAND - ASL","Rossington","QRW","Obsolete",84,253.50,84.50,21.12,"Transitional","Chandelier","","","ASL","Aged Silver Leaf ",20.00,14.00,.00,.00,.00,.00,19.75,8.00,16.00,8.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","4","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",.00,"190808082558"
"6022-4-62","ROSSINGTON 4LT CAND - PN","Rossington","QRW","Obsolete",110,253.50,84.50,21.12,"Transitional","Chandelier","","","PN","Polished Nickel ",20.00,14.00,.00,.00,.00,.00,19.75,8.00,16.00,8.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","4","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808082930"
"573-65","FLATIRON WALL SCONCE -STN","","QRW","Active",102,176.25,58.75,58.75,"Modern and Contemporary","Wall Sconce","","","STN","Satin Nickel ",10.75,8.00,.00,,.00,4.00,6.00,9.50,14.50,4.50,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","Combo1                          ","Combo1                          ",.00,,,,,,,"B Type","2","60","Candelabra","","Glass",0,"","Frost","",0,,,,,,,"Y","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",117.50,"190808063656"
"582-1-59","1LT CLR / OPAL WL MT - MB","","QRW","Active",46,104.25,34.75,34.75,"Soft Contemporary","Wall Mount","","","MB","Matte Black ",10.25,4.88,.00,.00,.00,7.75,15.00,8.00,9.00,3.60,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Clear","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",69.50,"190808151506"
"582-1-65","1LT CLR / OPAL WL MT -STN","","QRW","Active",87,108.75,36.25,36.25,"Soft Contemporary","Wall Mount","","","STN","Satin Nickel ",10.25,4.88,.00,.00,.00,7.75,15.00,8.00,9.00,3.60,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Clear","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",72.50,"190808151513"
"582-2-59","2LT CLR / OPAL VNTY - MB","","QRW","Active",59,178.50,59.50,59.50,"Soft Contemporary","Vanity","","","MB","Matte Black ",10.25,13.25,.00,.00,.00,7.75,16.00,9.00,13.00,6.60,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","2","100","Medium","","Glass",0,"","Clear","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",119.00,"190808151520"
"586-1-65","1LT BANDED DOME WLMT -STN","","QRW","Active",120,172.50,57.50,57.50,"Transitional","Wall Mount","","","STN","Satin Nickel ",10.00,6.50,.00,.00,.00,8.00,8.00,9.00,11.25,3.10,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","",0,"","","",0,,,,,,,"N","China",4,1,1,"","","","","N         ",115.00,"190808104151"
"586-1-8086","1LT BANDED DOME - AGB/OB","","QRW","Active",156,172.50,57.50,57.50,"Transitional","Wall Mount","","","AGB","Aged Brass w/ Oiled Bronze",10.00,6.50,.00,.00,.00,8.00,8.00,9.00,11.25,3.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","",0,"","","",0,,,,,,,"N","China",4,1,1,"N         ","N         ","N         ","N         ","N         ",115.00,"190808104182"
"586-1-86","1LT BANDED DOME WLMT - OB","","QRW","Active",59,172.50,57.50,57.50,"Transitional","Wall Mount","","","OB","Oiled Bronze ",10.00,6.50,.00,.00,.00,8.00,8.00,9.00,11.25,3.10,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","",0,"","","",0,,,,,,,"N","China",4,1,1,"N         ","N         ","N         ","N         ","N         ",115.00,"190808104175"
"586-2-65","2LT BANDED DOME VNTY- STN","","QRW","Active",2,353.25,117.75,117.75,"Transitional","Vanity","","","STN","Satin Nickel ",10.00,16.00,.00,.00,.00,8.50,11.00,11.00,17.50,6.20,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","2","100","Medium","","Glass",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",235.50,"190808104205"
"5473-1-39","SAN MIGUEL 1LT WL MT - VC","San Miguel","QRW","Active",77,268.50,89.50,89.50,"Traditional","Wall Mount","","","VC","Vintage Copper ",26.63,9.25,.00,.00,.00,6.50,9.00,11.25,27.00,5.40,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","60","Candelabra","","",0,"","Clear seeded","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",179.00,"190808075505"
"5473-1-70","SAN MIGUEL 1LT WL MT - PW","San Miguel","QRW","Active",66,268.50,89.50,89.50,"Traditional","Wall Mount","","","PW","Persian White ",26.63,9.25,.00,.00,.00,6.50,9.00,11.25,27.00,6.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","60","Candelabra","","",0,"","Clear seeded","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",179.00,"190808075628"
"5476-1-69","MODUS 1LT WALL MT - TXB  ","Modus","QRW","Active",62,82.50,27.50,27.50,"Modern and Contemporary","Wall Mount","","","TXB","Textured Black ",8.25,4.75,.00,.00,.00,6.25,8.25,5.75,10.25,3.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","                                ","                                ",.00,,,,,,,"","1","100","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",55.00,"190808118721"
"5476-2-65","MODUS 2LT WALL MT - STN  ","Modus","QRW","Active",0,142.50,47.50,47.50,"Soft Contemporary","Wall Mount","","","STN","Satin Nickel ",8.25,12.00,.00,,.00,6.25,10.50,6.25,17.25,6.60,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","Combo1                          ","Combo1                          ",.00,,,,,,,"","2","100","Medium","","",0,"","","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",95.00,"190808041586"
"5476-2-69","MODUS 2LT WALL MT - TXB  ","Modus","QRW","Active",34,148.50,49.50,49.50,"Modern and Contemporary","Wall Mount","","","TXB","Textured Black ",8.25,12.00,.00,.00,.00,6.25,10.50,6.25,17.25,6.60,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","Combo1                          ","Combo1                          ",.00,,,,,,,"","2","100","Medium","","",0,"","","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",99.00,"190808118738"
"5477-1-64","ASPEN 1LT WALL BRKT - CLN","Aspen","QRW","Active",141,114.75,38.25,38.25,"Transitional","Wall Mount","","","CLN","Classic Nickel ",18.50,6.25,.00,.00,.00,8.00,8.00,8.00,17.00,2.60,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Clear seeded","",0,,,,,,,"Y","China",4,1,0,"N         ","N         ","N         ","N         ","N         ",76.50,"190808125729"
"5484-1-65","DELTA 1LT WALL BRKT - STN","Delta","QRW","Active",88,99.00,33.00,33.00,"Modern and Contemporary","Wall Mount","","","STN","Satin Nickel ",8.25,4.75,.00,.00,.00,5.75,11.50,6.75,7.75,3.45,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",4,1,1,"N         ","N         ","N         ","N         ","N         ",66.00,"190808041951"
"5490-1-65","ROCKWOOD 1LT WL/BKT - STN","Rockwood","QRW","Active",42,105.00,35.00,35.00,"Transitional","Wall Mount","","","STN","Satin Nickel ",11.25,7.00,.00,.00,.00,8.75,7.25,10.25,13.25,3.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"Y","China",4,1,1,"N         ","N         ","N         ","N         ","N         ",70.00,"190808043191"
"5508-1-64","POWELL 1LT WL/BRKT - CLN","Powell","QRW","Active",19,55.50,18.50,18.50,"Transitional","Wall Mount","","","CLN","Classic Nickel ",8.50,5.50,.00,.00,.00,7.75,7.25,5.75,9.25,2.40,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Faux alabaster","",0,,,,,,,"N","China",4,1,0,"N         ","N         ","N         ","N         ","N         ",37.00,"190808042026"
"5508-1-86","POWELL 1LT WL/BRKT - OB","Powell","QRW","Active",77,55.50,18.50,18.50,"Transitional","Wall Mount","","","OB","Oiled Bronze w/ Satin Opal",8.50,5.50,.00,.00,.00,7.75,7.25,5.75,9.25,2.40,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",4,1,0,"N         ","N         ","N         ","N         ","N         ",37.00,"190808042033"
"5510-2-60","SPENCER 2LT WL MT - ASL","Spencer","QRW","Obsolete",87,121.50,40.50,10.12,"Transitional","Wall Mount","","","ASL","Aged Silver Leaf w/ Clear/Seeded",11.25,17.25,.00,.00,.00,7.25,.00,.00,.00,2.80,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","2","100","Medium","","Glass",0,"","Clear seeded","",0,,,,,,,"N","China",4,1,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808076731"
"5522-1-86","ROSSINGTON 1LT WL MT - OB","Rossington","QRW","Active",51,78.75,26.25,26.25,"Transitional","Wall Mount","","","OB","Oiled Bronze ",12.50,5.00,.00,.00,.00,6.25,7.75,7.00,17.00,2.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",52.50,"190808082848"
"553-2-86","JULIAN 2LT WALL MT - OB  ","Julian","QRW","Active",13,394.50,131.50,131.50,"Transitional","Wall Mount","","","OB","Oiled Bronze ",25.00,6.00,.00,.00,.00,5.25,7.75,27.00,9.00,7.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","2","100","Medium","","Glass",0,"","Mercury","",0,,,,,,,"N","China",2,1,1,"","","","","N         ",263.00,"190808050236"
"5530-1-88","MADELEINE 1LT WL/BRKT -CG","MADELEINE","QRW","Active",37,241.50,80.50,80.50,"Traditional","Wall Mount","","","CG","Corsican Gold ",21.50,7.25,.00,,.00,10.00,23.50,9.00,11.00,7.30,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","Scavo","Glass",0,"","ANTIQUE AMBER","Flare",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",161.00,"190808063267"
"5530-2-88","MADELEINE 2LT WL/BRKT -CG","Madeleine","QRW","Active",86,426.00,142.00,142.00,"Traditional","Wall Mount","","","CG","Corsican Gold ",21.50,15.75,.00,,.00,8.50,9.50,14.00,21.25,11.60,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","2","100","Medium","Scavo","Glass",0,"","ANTIQUE AMBER","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",284.00,"190808063274"
"555-2-80","BROADWAY 2LT SCONCE - AGB","Broadway","QRW","Active",126,528.00,176.00,176.00,"Modern and Contemporary","Wall Sconce","","","AGB","Aged Brass ",15.00,10.50,.00,.00,.00,4.00,10.50,7.50,17.75,6.60,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","2","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",352.00,"190808040817"
"5560-1-69","REYES 1LT WALL MT - TXB  ","Reyes","QRW","Active",43,75.00,25.00,25.00,"Traditional","Wall Mount","","","TXB","Textured Black w/ Clear/Seeded",10.25,5.25,.00,.00,.00,7.25,7.25,8.75,8.25,2.10,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Clear","",0,,,,,,,"N","China",4,1,0,"N         ","N         ","N         ","N         ","N         ",50.00,"190808109767"
"5560-1-86","REYES 1LT WALL MT - OB","Reyes","QRW","Active",13,75.00,25.00,25.00,"Transitional","Wall Mount","","","OB","Oiled Bronze ",10.25,5.25,.00,.00,.00,7.25,10.25,7.50,5.25,2.70,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",4,1,1,"","","","","N         ",50.00,"190808040848"
"5569-1-65","BARKLEY 1LT WALL MT - STN","Barkley","QRW","Active",97,69.00,23.00,23.00,"Traditional","Wall Mount","","","STN","Satin Nickel ",9.75,5.75,.00,.00,.00,6.25,15.75,8.75,8.75,3.60,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",46.00,"190808102881"
"5569-1-86","BARKLEY 1LT WALL MT - OB","Barkley","QRW","Active",189,69.00,23.00,23.00,"Traditional","Wall Mount","","","OB","Oiled Bronze ",9.75,5.75,.00,.00,.00,6.25,15.75,8.75,8.75,3.60,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",46.00,"190808102980"
"557-1-6980","HARMONY 1LT WL MT-TXB/AGB","Harmony","QRW","Active",179,147.00,49.00,49.00,"Transitional","Wall Mount","","","TXB","Textured Black w/ Aged Brass",14.50,4.75,.00,.00,.00,6.00,7.25,9.00,15.00,2.40,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","6","Candelabra","","Steel",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",98.00,"190808151421"
"557-1-80","HARMONY 1LT WL MT - AGB","Harmony","QRW","Active",76,122.25,40.75,40.75,"Transitional","Wall Mount","","","AGB","Aged Brass ",14.50,4.75,.00,.00,.00,6.00,7.25,9.00,15.00,2.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","60","Candelabra","","Linen",0,"","White","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",81.50,"190808151438"
"557-3-6980","HARMONY 3LT WL MT-TXB/AGB","Harmony","QRW","Active",122,343.50,114.50,114.50,"Transitional","Wall Mount","","","TXB","Textured Black w/ Aged Brass",19.50,12.50,.00,.00,.00,7.75,13.00,10.00,22.00,5.20,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","3","60","Candelabra","","Steel",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",229.00,"190808151445"
"557-3-80","HARMONY 3LT WL MT - AGB","Harmony","QRW","Active",156,291.00,97.00,97.00,"Transitional","Wall Mount","","","AGB","Aged Brass ",19.50,12.50,.00,.00,.00,7.75,13.00,10.00,22.00,4.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","3","60","Candelabra","","Linen",0,"","White","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",194.00,"190808151452"
"5403-2-065","2LT WALL MOUNT - STN","","QRW","Active",27,41.55,13.85,13.85,"Traditional","Wall Mount","","","STN","Satin Nickel ",6.50,8.00,.00,,.00,5.25,7.50,6.00,9.75,1.40,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","                                ","                                ",.00,,,,,,,"","2","100","Medium","","",0,"","","",0,,,,,,,"Y","China",12,1,1,"N         ","N         ","N         ","N         ","N         ",27.70,"190808043573"
"5403-2-165","2LT WALL MNT W/ 2532 -STN","","QRW","Active",191,57.00,19.00,19.00,"Traditional","Wall Mount","","","STN","Satin Nickel ",7.50,11.50,.00,,.00,5.75,11.50,6.75,9.50,4.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","                                ","                                ",.00,,,,,,,"","2","100","Medium","","",0,"","FROSTED","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",38.00,"190808043597"
"5403-3-195","3LT WALL MNT W/ 2532 - OW","","QRW","Active",152,68.55,22.85,22.85,"Traditional","Wall Mount","","","OW","Old World ",7.75,14.50,.00,,.00,7.00,10.75,8.25,12.00,5.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","                                ","                                ",.00,,,,,,,"","3","100","Medium","Frost","Glass",0,"RIBBED","WHITE","",0,,,,,,,"Y","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",45.70,"190808044488"
"5403-3-65","3LT FAUX ALAB WL MNT -STN","","QRW","Active",146,93.75,31.25,31.25,"Traditional","Wall Mount","","","STN","Satin Nickel ",8.00,17.00,.00,.00,.00,8.50,12.25,9.50,12.50,5.60,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","                                ","                                ",.00,,,,,,,"","3","100","Medium","","Glass",0,"","Faux alabaster","",0,,,,,,,"N","China",6,1,0,"N         ","N         ","N         ","N         ","N         ",62.50,"190808044501"
"5404-2-65","2 LT WALL MT - STN","","QRW","Active",266,59.25,19.75,19.75,"Traditional","Wall Mount","","","STN","Satin Nickel ",7.50,11.75,.00,.00,.00,5.00,11.50,6.75,9.50,3.40,"N","N","N","N","N","N","","","","","","","",,"","",,"","","",,,,,,,,"","2","100","Medium","","",0,"","Satin opal","",0,,,,,,,"N","China",6,1,1,"","","","","N         ",39.50,"190808126474"
"5404-2-86","2 LT WALL MT - OB","","QRW","Active",87,61.50,20.50,20.50,"Traditional","Wall Mount","","","OB","Oiled Bronze ",7.50,11.75,.00,.00,.00,5.00,11.50,6.75,9.50,3.40,"N","N","N","N","N","N","","","","","","","",,"","",,"","","",,,,,,,,"","2","100","Medium","","",0,"","","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",41.00,"190808126481"
"5404-3-65","3 LT WALL MT - STN","","QRW","Active",494,79.50,26.50,26.50,"Traditional","Wall Mount","","","STN","Satin Nickel ",7.50,16.50,.00,.00,.00,8.00,10.00,8.50,12.00,4.60,"N","N","N","N","N","N","","","","","","","",,"","",,"","","",,,,,,,,"","3","100","Medium","","",0,"","","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",53.00,"190808126498"
"5404-3-86","3 LT WALL MT - OB","","QRW","Active",113,83.25,27.75,27.75,"Traditional","Wall Mount","","","OB","Oiled Bronze ",7.50,16.50,.00,.00,.00,8.00,10.00,8.50,12.00,4.80,"N","N","N","N","N","N","","","","","","","",,"","",,"","","",,,,,,,,"","3","100","Medium","","",0,"","","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",55.50,"190808126504"
"5404-4-65","4 LT WALL MT - STN","","QRW","Active",131,98.25,32.75,32.75,"Traditional","Wall Mount","","","STN","Satin Nickel ",7.50,24.00,.00,.00,.00,7.50,7.50,9.50,2.00,6.20,"N","N","N","N","N","N","","","","","","","",,"","",,"","","",,,,,,,,"","4","100","Medium","","",0,"","","",0,,,,,,,"Y","China",4,1,1,"N         ","N         ","N         ","N         ","N         ",65.50,"190808126511"
"5404-4-86","4 LT WALL MT - OB","","QRW","Active",124,102.00,34.00,34.00,"Traditional","Wall Mount","","","OB","Oiled Bronze ",7.50,24.00,.00,.00,.00,7.50,7.50,9.50,2.00,6.20,"N","N","N","N","N","N","","","","","","","",,"","",,"","","",,,,,,,,"","4","100","Medium","","",0,"","","",0,,,,,,,"Y","China",4,1,1,"N         ","N         ","N         ","N         ","N         ",68.00,"190808126528"
"5407-1-80","LANCASTER 1LT WL MT - AGB","Lancaster","QRW","Active",0,118.50,39.50,39.50,"Transitional","Wall Mount","","","AGB","Aged Brass ",9.50,5.00,.00,.00,.00,6.00,8.00,8.00,10.00,3.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",4,1,1,"N         ","N         ","N         ","N         ","N         ",79.00,"190808082206"
"5407-1-86","LANCASTER 1LT WL MT - OB","Lancaster","QRW","Active",15,118.50,39.50,39.50,"Transitional","Wall Mount","","","OB","Oiled Bronze ",9.50,5.00,.00,.00,.00,6.00,8.00,8.00,10.00,3.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",4,1,1,"N         ","N         ","N         ","N         ","N         ",79.00,"190808082213"
"5411-1-186","RICHMOND CLR/SEED WLMT-OB","Richmond","QRW","Active",80,81.75,27.25,27.25,"Transitional","Wall Mount","","","OB","Oiled Bronze w/ Clear/Seeded",13.50,5.25,.00,.00,.00,6.50,8.00,8.00,16.50,4.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Clear seeded","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",54.50,"190808104854"
"5412-69","OMNI LG INDUSTRIAL - TXB ","Omni","QRW","Active",41,260.25,86.75,86.75,"Industrial","Wall Mount","","","TXB","Textured Black ",15.00,12.00,.00,.00,9.00,20.50,9.50,15.00,15.00,3.20,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",173.50,"190808124876"
"5412-80","OMNI LG INDUSTRIAL - AGB","Omni","QRW","Active",30,319.50,106.50,106.50,"Industrial","Wall Mount","","","AGB","Aged Brass ",15.00,12.00,.00,.00,.00,20.50,9.50,15.00,15.00,3.20,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",213.00,"190808124883"
"5414-1-60","ANSLEY 1LT WALL MT - ASL ","Ansley","QRW","Active",32,249.00,83.00,83.00,"Traditional","Wall Mount","","","ASL","Aged Silver Leaf ",21.75,10.00,.00,.00,.00,9.50,13.00,13.00,24.00,5.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Clear seeded","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",166.00,"190808079695"
"5414-1-70","ANSLEY 1LT WALL MT - PW  ","Ansley","QRW","Active",73,249.00,83.00,83.00,"Traditional","Wall Mount","","","PW","Persian White ",21.75,10.00,.00,.00,.00,9.50,13.00,13.00,24.00,5.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Clear seeded","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",166.00,"190808079787"
"5422-1-14","1LT SATIN OPAL WL BKT -CH","","QRW","Active",339,82.50,27.50,27.50,"Transitional","Wall Mount","","","CH","Chrome ",9.00,5.13,.00,,.00,6.00,10.25,6.50,7.50,2.20,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Satin Opal","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",55.00,"190808044396"
"5422-1-186","ROSSINGTON 1LT WLMNT - OB","Rossington","QRW","Active",15,83.25,27.75,27.75,"Transitional","Wall Mount","","","OB","Oiled Bronze w/ Satin Opal",9.00,5.13,.00,.00,.00,6.00,8.00,6.00,10.00,2.50,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",55.50,"190808076601"
